artistName,msPlayed,areas
Julian Lennon,214614,United Kingdom
Julieta Venegas,567797,Mexico
Jungle,2369281,United Kingdom
Justin Townes Earle,154652,United States
KALEO,2679317,Iceland
KISS,1793220,United States
Kaiser Chiefs,204162,United Kingdom
Kalmah,1538873,Finland
Kany García,202172,Puerto Rico
Karina,202447,Argentina
Kasabian,10231325,United Kingdom
Kate Rusby,11029,United Kingdom
Kaya Takahara,143991,Japan
Kenny Rogers,688476,United States
Kid Rock,298944,United States
Kim Carnes,2251823,United States
King Clave,222731,Argentina
Kings of Leon,8468425,United States
Klaxons,10055,United Kingdom
Kool & The Gang,9401244,United States
Korn,32014,United States
LA LOM,189712,United States
La Banda Tecno De Beto Y Juan,254894,Mexico
La Luz Roja De San Marcos,233729,Mexico
La Mosca Tse-Tse,191555,Argentina
La Oreja de Van Gogh,472646,Spain
La Sonora Dinamita,446189,Colombia
Laura Branigan,8887503,United States
Lazerhawk,2323189,United States
Leo Dan,725310,Argentina
Leon Bridges,2728263,United States
Leonardo Favio,223384,Argentina
Les Discrets,487049,France
Liam Gallagher,5221891,United Kingdom
Lights On,3457730,United States
Lindemann,1626713,Germany
Lindsey Buckingham,2750410,United States
Lionel Richie,5328207,United States
Little Nell,199374,Australia
Little Simz,2355141,United Kingdom
Live,53705,United States
Living Colour,3536299,United States
Lord Of The Lost,358537,Germany
Los Abuelos De La Nada,9942,Argentina
Los Bukis,840577,Mexico
Los Cadetes De Linares,396391,Mexico
Los Enanitos Verdes,383668,Argentina
Los Mier,338622,Mexico
Los Plebes del Rancho de Ariel Camacho,191953,Mexico
Los Socios Del Ritmo,669506,Mexico
Los Tigres Del Norte,1911854,United States
Los Tucanes De Tijuana,198933,Mexico
Los Ángeles Azules,2703939,Mexico
Lou Reed,442226,United States
Louis Armstrong,139241,United States
Loverboy,3170560,Canada
Lucho Bermúdez,151636,Colombia
Luis Mexia,170050,Mexico
Luis Miguel,3755496,Mexico
Luis R Conriquez,146981,Mexico
Lynn Anderson,149411,United States
Lynyrd Skynyrd,11343336,United States
M.I.A.,1851288,United Kingdom
MGMT,260956,United States
MNKYBSNSS,4249803,Colombia
Madcon,1954969,Norway
Madness,206284,United Kingdom
Madonna,4558095,United States
Magneto,260672,Mexico
Mahmood,2404,Italy
Maluma,142348,Colombia
Mansionair,2994039,Australia
Maná,526250,Mexico
Marco Antonio Solís,1639283,Mexico
Marisela,1680837,Mexico
Mark Ronson,11270,United Kingdom
Marty Robbins,129973,United States
Matisse,177055,Mexico
Matthew Wilder,3045739,United States
Maximo Park,3166000,United Kingdom
Mecano,174940,Spain
Mechina,2668999,United States
Megadeth,1750229,United States
Men At Work,7851700,Australia
Menudo,3222982,Puerto Rico
Meshuggah,2353975,Sweden
Metallica,7624099,United States
Metric,285975,Canada
Michael Sembello,3446505,United States
Midnight Oil,9340117,Australia
Miguel Bosé,278279,Spain
Mike Oldfield,218144,United Kingdom
Miles Kane,179213,United Kingdom
Milli Vanilli,1389988,Germany
Misþyrming,656052,Iceland
Modern Talking,7406822,Germany
Modest Mouse,208423,United States
Molchat Doma,2686597,Belarus
Molotov,5030875,Mexico
Mon Laferte,0,Mexico
Monaco,2732265,United Kingdom
Monomen,3834255,Norway
Montrose,3201366,United States
Moonspell,5053157,Portugal
Morbid Angel,633626,United States
Morcheeba,4167215,United Kingdom
Morgan Wallen,157476,United States
Morrissey,129686,United Kingdom
Mors Principium Est,7136320,Finland
Motörhead,810663,United Kingdom
Mr. Big,75942,United States
Mr. Mister,5722759,United States
Muldrotha,171692,United States
Mumford & Sons,12107476,United Kingdom
Murray Head,4051896,United Kingdom
Muse,2978990,United Kingdom
Mägo de Oz,3279,Spain
Mötley Crüe,4456940,United States
Nada Surf,220550,United States
Naglfar,391640,Sweden
Nancy Sinatra,2906993,United States
Nat King Cole,155306,United States
Natalie Cole,382875,United States
Natalie Imbruglia,244635,Australia
Neil Diamond,188301,United States
Nelson Ned,10023376,Brazil
Nena,5024199,Germany
Neosentient,963602,United States
New Order,8806929,United Kingdom
Nickelback,212869,Canada
Nico Sorin,2082619,Argentina
Night Ranger,5688412,United States
Night Riots,2590076,United States
Nile,208114,United States
Nina Simone,389752,United States
Nine Treasures,3380,China
No Te Va Gustar,3531152,Uruguay
Noah Kahan,777667,United States
Noche de Brujas,248666,Chile
Noel Gallagher's High Flying Birds,17227180,United Kingdom
Norah Jones,398823,United States
Norma Tanega,19028,United States
Norman Greenbaum,4423232,United States
Norther,603792,Finland
Nothing But Thieves,2360664,United Kingdom
OK Go,179776,United States
Oasis,7699682,United Kingdom
Of Monsters and Men,266614,Iceland
Oingo Boingo,7096202,United States
Olly Alexander (Years & Years),239533,United Kingdom
Orbit Culture,260638,Sweden
Orchestral Manoeuvres In The Dark,2355989,United Kingdom
Otis Redding,327465,United States
Ottawan,3137535,France
P.O.D.,16784,United States
PATRIARKH,1769812,Poland
Paolo Nutini,7216659,United Kingdom
Paramore,3175320,United States
Pat Benatar,4469237,United States
Patrick Hernandez,4341277,France
Patrick Swayze,4226463,United States
Patsy Cline,329156,United States
Paul Engemann,2138032,United States
Paul Weller,2840152,United Kingdom
Pearl Jam,8990109,United States
Pearldiver,71789,Germany
Pedro Fernández,605850,Mexico
Pedro Infante,1404660,Mexico
Pepe Aguilar,1566244,United States
Pet Shop Boys,5630338,United Kingdom
Peter Murphy,5293927,United Kingdom
Peter Schilling,5424301,Germany
Petros Idris,30007,Unknown
Phil Collins,11282136,United Kingdom
Philip Bailey,3704865,United States
Phoenix,434694,United Kingdom
Pink Floyd,27042685,United Kingdom
Pixies,234938,United States
Porcupine Tree,124669,United Kingdom
Portishead,78476,United Kingdom
Portugal. The Man,1307775,United States
Pretenders,4101555,United Kingdom
Prince,7836882,United States
Propaganda,284908,Germany
Pulp,23089196,United Kingdom
Q Lazzarus,3168209,United States
Quantic,199061,Colombia
Queen,44493786,United Kingdom
Queens of the Stone Age,3001589,United States
R.E.M.,4641866,United States
REO Speedwagon,2606103,United States
Rainbow,1012705,United Kingdom
Rammstein,1664844,Germany
Ramones,2901444,United States
Rancid,144547,United States
Rascal Flatts,276318,United States
Raury,6211636,United States
Ray Charles,152640,United States
Razorlight,205167,United Kingdom
Redbone,3647,United States
Regina Spektor,226690,United States
Reverend And The Makers,292263,United Kingdom
Richard Ashcroft,3264798,United Kingdom
Rick James,2879291,United States
Robbie Williams,247583,United Kingdom
Robert Palmer,4541602,United Kingdom
Roberta Flack,286932,United States
Rockwell,3882932,United States
Rocío Dúrcal,1877751,Spain
Rod Stewart,12834964,United Kingdom
Rodolfo Aicardi,220037,Colombia
Rodríguez,435071,Cuba
Romeo Santos,235138,United States
Roxette,4739246,Sweden
Roxy Music,4687051,United Kingdom
Roy Orbison,3437,United States
Royal Blood,90917,United Kingdom
Running Wild,551520,Germany
SAFIA,2692361,Australia
SALES,1822377,United States
STRFKR,3067627,United States
SUN SILVA,3341754,United Kingdom
Sabrina,4691482,Philippines
Sam & Dave,155682,United States
Sam Fender,6195800,United Kingdom
Santaferia,447650,Chile
Santana,5450880,United States
Savage Circus,1814779,Germany
Scandal,221011,Japan
Selena,2135612,United States
Septicflesh,1930635,Greece
Sepultura,170022,Brazil
Shade Empire,9776871,Finland
Shadow of Intent,2000231,United States
Shakira,854732,Colombia
Shane Smith & the Saints,257397,United States
Shania Twain,681818,Canada
She Wants Revenge,284585,United States
Shivaree,251686,United States
Shocking Blue,2626339,Netherlands
Sia,2567300,Australia
Silent Planet,180280,United States
Silversun Pickups,354320,United States
Simon & Garfunkel,185408,United States
Simple Minds,126925,United Kingdom
Sinéad O'Connor,157726,Ireland
Siouxsie and the Banshees,309279,United Kingdom
Sirenia,441403,Norway
Sisters of Mercy,487965,United Kingdom
Sixpence None The Richer,24370,United States
Skids,2769222,United Kingdom
Slade,1848315,United Kingdom
Slayer,6203948,United States
Slipknot,316669,United States
Small Faces,152922,United Kingdom
Sofi Tukker,2029810,United States
Soft Cell,2576934,United Kingdom
Sophie B. Hawkins,120259,United States
Soul Extract,454958,China
Soviet Soviet,7251874,Italy
Space,5876452,United Kingdom
Spandau Ballet,7897322,United Kingdom
Speedwolf,328413,United States
Spleen,2120877,France
Squeeze,59142,United Kingdom
Stardust,2427312,France
Starship,4604892,United States
Status Quo,5341557,United Kingdom
Stealers Wheel,221669,United Kingdom
Steven Wilson,8695058,United Kingdom
Stevie Wonder,7786491,United States
Sting,5317152,United Kingdom
Stormlord,814624,Italy
Stormtide,649381,Australia
Stratovarius,1686000,Finland
Stuck in the Sound,6341,France
Sturgill Simpson,72960,United States
Suede,14881,United Kingdom
Sumo,5149972,Argentina
Supergrass,2533957,United Kingdom
Suzi Quatro,112030,United States
Sweet,200766,United Kingdom
Sylosis,571688,United Kingdom
T. Rex,1314356,United Kingdom
THE DEFECT,186832,United States
TOTO,7509097,United States
Taco,281162,Netherlands
Tal Bachman,110797,Canada
Talk Talk,27823525,United Kingdom
Tame Impala,5027121,Australia
Taylor Swift,13368,United States
Tears For Fears,15094390,United Kingdom
Technicolor Fabrics,2865510,Mexico
Ten Years After,224108,United Kingdom
Tengger Cavalry,508341,China
Tennessee Ernie Ford,311779,United States
Tesla Boy,3621730,Russia
Testament,546463,United States
Texas,44810,United Kingdom
The 5.6.7.8's,21182,Japan
The 5th Dimension,3760710,United States
The Afghan Whigs,27130,United States
The Anix,464035,United States
The Archies,167185,United States
The Avalanches,2892331,Australia
The Beach Boys,4614508,United States
The Beat,213961,United Kingdom
The Beatles,12120993,United Kingdom
The Black Keys,4418210,United States
The Blasters,37528,United States
The Box Tops,112808,United States
The Bravery,445973,United States
The Browning,190619,United States
The Calling,203177,United States
The Cars,1100407,United States
The Chemical Brothers,90433,United Kingdom
The Clash,9294799,United Kingdom
The Coral,4430,United Kingdom
The Cribs,195943,United Kingdom
The Crystals,103374,United States
The Cult,8960841,United Kingdom
The Cure,9108055,United Kingdom
The Damned,7340138,United Kingdom
The Dandy Warhols,4208183,United States
The Easybeats,174731,Australia
The Farm,302887,United Kingdom
The Fixx,199788,United Kingdom
The Fratellis,203730,United Kingdom
The Futureheads,182643,United Kingdom
The Great Old Ones,1705055,France
The Highwaymen,2023479,United States
The Hives,200656,Sweden
The Hollies,199202,United Kingdom
The Human League,7023727,United Kingdom
The Jim Carroll Band,280611,United States
The Killers,13808716,United States
The Kinks,2184196,United Kingdom
The Kooks,3546888,United Kingdom
The Kovenant,857275,Norway
The Last Shadow Puppets,758213,United Kingdom
The Lathums,194662,United Kingdom
The Libertines,203698,United Kingdom
The Lightning Seeds,235464,United Kingdom
The Maccabees,2472606,United Kingdom
The Mamas & The Papas,3090701,United States
The Mighty Mighty Bosstones,195165,United States
The Mission,7950937,United Kingdom
The Monkees,179587,United States
The Moth & The Flame,1890255,United States
The National,1328632,United States
The Night Flight Orchestra,285090,Sweden
The Outfield,4282927,United Kingdom
The Plague,369943,Sweden
The Platters,34942,United States
The Pogues,62018,United Kingdom
The Pointer Sisters,68256,United States
The Police,13187239,United Kingdom
The Postal Service,2253783,United States
The Psychedelic Furs,12446259,United Kingdom
The Quantic Soul Orchestra,206197,United Kingdom
The Raconteurs,215235,United States
The Ritual Aura,252240,Australia
The Rolling Stones,3759944,United Kingdom
The Shadows,155201,United Kingdom
The Sherlocks,1696666,United Kingdom
The Smashing Pumpkins,5086507,United States
The Smiths,9999460,United Kingdom
The Snuts,158935,United Kingdom
The Statler Brothers,148397,United States
The Stone Roses,11382405,United Kingdom
The Strokes,5347221,United States
The Style Council,257618,United Kingdom
The Subways,169901,United Kingdom
The Sugarhill Gang,235842,United States
The Sundays,77420,United Kingdom
The Temper Trap,3057765,Australia
The Ting Tings,171232,United Kingdom
The Trammps,1724858,United States
The Turtles,3935931,United States
The Vaccines,173976,United Kingdom
The Velvet Underground,113922,United States
The Very Best,273548,United Kingdom
The View,213056,United Kingdom
The Vines,126526,Australia
The Walkmen,262262,United States
The Wallflowers,272468,United States
The War On Drugs,6518190,United States
The Waterboys,7745883,United Kingdom
The Weeknd,412211,Canada
The White Buffalo,462980,United States
The White Stripes,342119,United States
The Who,8137770,United Kingdom
The Wombats,191267,United Kingdom
The xx,3231004,United Kingdom
Them,156808,United Kingdom
They Might Be Giants,46400,United States
Thin Lizzy,345197,Ireland
Thy Catafalque,8923314,Hungary
Thyrfing,370013,Sweden
Timbuk 3,204252,United States
Todd Rundgren,66453,United States
Tommy Tutone,226158,United States
Toni Basil,12252,United States
Tori Amos,305465,United States
Toronto Is Broken,452243,United Kingdom
Townes Van Zandt,165173,United States
Traveling Wilburys,8010,United States
Travis,1018136,United Kingdom
Triosphere,253102,Norway
Tristania,1011120,Norway
Tseba,3241657,Australia
Tubeway Army,323098,United Kingdom
Twenty One Pilots,4791504,United States
Twisted Sister,8170370,United States
Two Door Cinema Club,10257011,United Kingdom
Two Wounded Birds,2301014,United Kingdom
Tyler Childers,639899,United States
U2,11945071,Ireland
Ultar,1297666,Russia
Ultravox,3859442,United Kingdom
Uneven Structure,790158,France
Unknown Artist,510432,Unknown
Unknown Mortal Orchestra,3838318,United States
Usted Señalemelo,1473051,Argentina
VANO 3000,1117701,United States
Vale Of Pnath,500342,United States
Vampire Weekend,333421,United States
Vance Joy,1838570,Australia
Veil Of Maya,505812,United States
Versus Them,2252690,United States
Vicente Fernández,2451771,Mexico
Village People,4079247,United States
Vintersorg,1661173,Sweden
Voka Gentle,2336389,United Kingdom
Vorna,7072511,Finland
W.A.S.P.,1569993,United States
War,3053120,United States
Watchhouse,382482,United States
Waylon Jennings,816571,United States
We Are Scientists,192307,United States
Ween,126907,United States
Wet Leg,196920,United Kingdom
Wham!,5757726,United Kingdom
Whitesnake,6658706,United Kingdom
Whitney Houston,10858573,United States
Willie Colón,279316,United States
Willie Nelson,2407744,United States
Wilson Pickett,146990,United States
Wolf Alice,7000563,United Kingdom
Woodkid,1701152,France
Wormwitch,301680,Canada
Xandria,1054444,Germany
Xaon,1336917,Switzerland
Xavi,156359,United States
Yahritza Y Su Esencia,321038,United States
Yeah Yeah Yeahs,2209907,United States
Yes,5898867,United Kingdom
Yuridia,305834,Mexico
Yvonne Elliman,114486,United States
ZHU,2764606,United States
ZZ Top,4936352,United States
Zach Bryan,398875,United States
Zero 7,271518,United Kingdom
Zoé,5881780,Mexico
a-ha,9321689,Norway
alt-J,5144,United Kingdom
bby,536485,United Kingdom
beabadoobee,2794359,United Kingdom
n.i.g.h.t,187740,Russia
Æther Realm,2594696,United States
Édith Piaf,286300,France
БАТЮШКА,38040,Russia
